UNITID,EFFYLEV,LSTUDY,EFYTOTLM,EFYTOTLW,EFYTOTLT
100654,1,999,2800,3373,6173
100654,2,1,2474,2634,5108
100654,4,3,326,739,1065
100663,1,999,8098,12297,20395
100663,2,1,5368,7305,12673
100663,4,3,2730,4992,7722
100690,1,999,516,581,1097
100690,2,1,293,277,570
100690,4,3,223,304,527
100706,1,999,4986,4116,9102
100706,2,1,3802,3392,7194
100706,4,3,1184,724,1908
100724,1,999,2579,4046,6625
100724,2,1,2271,3222,5493
100724,4,3,308,824,1132
100751,1,999,14382,16231,30613
100751,2,1,11988,12977,24965
100751,4,3,2394,3254,5648
100760,1,999,1175,2248,3423
100760,2,1,1175,2248,3423
100812,1,999,1741,3177,4918
100812,2,1,1741,3177,4918
100830,1,999,2633,4594,7227
100830,2,1,2245,3696,5941
100830,4,3,388,898,1286
100858,1,999,13648,12816,26464
100858,2,1,10965,10074,21039
100858,4,3,2683,2742,5425
100937,1,999,803,808,1611
100937,2,1,781,785,1566
100937,4,3,22,23,45
101028,1,999,919,1818,2737
101028,2,1,919,1818,2737
101073,1,999,415,313,728
101073,2,1,415,313,728
101116,1,999,261,812,1073
101116,2,1,250,752,1002
101116,4,3,11,60,71
101143,1,999,2414,1698,4112
101143,2,1,2414,1698,4112
101161,1,999,2409,4148,6557
101161,2,1,2409,4148,6557
101189,1,999,1526,2549,4075
101189,2,1,1237,2269,3506
101189,4,3,289,280,569
101240,1,999,3926,6093,10019
101240,2,1,3926,6093,10019
101286,1,999,2291,4550,6841
101286,2,1,2291,4550,6841
101295,1,999,3217,5541,8758
101295,2,1,3217,5541,8758
101301,1,999,1095,2134,3229
101301,2,1,1095,2134,3229
101365,1,999,214,502,716
101365,2,1,214,502,716
101435,1,999,584,649,1233
101435,2,1,584,649,1233
101453,1,999,112,12,124
101453,2,1,73,10,83
101453,4,3,39,2,41
101462,1,999,916,1152,2068
101462,2,1,916,1152,2068
101471,1,999,700,353,1053
101471,2,1,700,353,1053
101480,1,999,4727,6652,11379
101480,2,1,4026,5385,9411
101480,4,3,701,1267,1968
101499,1,999,922,1206,2128
101499,2,1,922,1206,2128
101505,1,999,5498,8390,13888
101505,2,1,5498,8390,13888
101514,1,999,7287,9430,16717
101514,2,1,7287,9430,16717
101541,1,999,22,320,342
101541,2,1,22,320,342
101569,1,999,2508,4129,6637
101569,2,1,2508,4129,6637
101587,1,999,1505,4885,6390
101587,2,1,886,1347,2233
101587,4,3,619,3538,4157
101602,1,999,917,1655,2572
101602,2,1,917,1655,2572
101648,1,999,389,159,548
101648,2,1,389,159,548
101675,1,999,963,1126,2089
101675,2,1,963,1126,2089
101693,1,999,616,1368,1984
101693,2,1,561,1172,1733
101693,4,3,55,196,251
101709,1,999,1069,2424,3493
101709,2,1,924,1909,2833
101709,4,3,145,515,660
101736,1,999,2627,3635,6262
101736,2,1,2627,3635,6262
101879,1,999,3794,4891,8685
101879,2,1,3130,4076,7206
101879,4,3,664,815,1479
101897,1,999,1751,2906,4657
101897,2,1,1751,2906,4657
101912,1,999,852,1157,2009
101912,2,1,821,1127,1948
101912,4,3,31,30,61
101949,1,999,735,1331,2066
101949,2,1,735,1331,2066
101958,1,999,7,126,133
101958,2,1,7,126,133
101994,1,999,458,653,1111
101994,2,1,458,653,1111
102030,1,999,2138,3773,5911
102030,2,1,2138,3773,5911
102049,1,999,2073,3072,5145
102049,2,1,1120,1966,3086
102049,4,3,953,1106,2059
102058,1,999,256,311,567
102058,2,1,233,303,536
102058,4,3,23,8,31
102067,1,999,4573,5116,9689
102067,2,1,4573,5116,9689
102076,1,999,1169,2218,3387
102076,2,1,1169,2218,3387
102094,1,999,6863,10509,17372
102094,2,1,5832,7718,13550
102094,4,3,1031,2791,3822
102234,1,999,666,1083,1749
102234,2,1,561,890,1451
102234,4,3,105,193,298
102261,1,999,145,94,239
102261,2,1,145,94,239
102270,1,999,520,665,1185
102270,2,1,520,665,1185
102298,1,999,315,465,780
102298,2,1,315,465,780
102313,1,999,1330,1252,2582
102313,2,1,1330,1252,2582
102368,1,999,14788,23252,38040
102368,2,1,11365,16408,27773
102368,4,3,3423,6844,10267
102377,1,999,1593,2240,3833
102377,2,1,1400,1840,3240
102377,4,3,193,400,593
