UNITID,EFFYLEV,LSTUDY,EFYTOTLT,EFYTOTLM,EFYTOTLW
100654,1,999,6388,2892,3496
100654,2,1,5295,2533,2762
100654,4,3,1093,359,734
100663,1,999,20647,8110,12537
100663,2,1,13004,5384,7620
100663,4,3,7643,2726,4917
100690,1,999,1062,512,550
100690,2,1,508,258,250
100690,4,3,554,254,300
100706,1,999,8976,4885,4091
100706,2,1,6984,3680,3304
100706,4,3,1992,1205,787
100724,1,999,6517,2614,3903
100724,2,1,5548,2331,3217
100724,4,3,969,283,686
100751,1,999,33681,15605,18076
100751,2,1,27175,12961,14214
100751,4,3,6506,2644,3862
100760,1,999,3411,1224,2187
100760,2,1,3411,1224,2187
100812,1,999,4782,1715,3067
100812,2,1,4782,1715,3067
100830,1,999,7119,2619,4500
100830,2,1,5833,2236,3597
100830,4,3,1286,383,903
100858,1,999,26840,13796,13044
100858,2,1,21322,11077,10245
100858,4,3,5518,2719,2799
100937,1,999,1594,807,787
100937,2,1,1571,795,776
100937,4,3,23,12,11
101028,1,999,2525,904,1621
101028,2,1,2525,904,1621
101073,1,999,774,440,334
101073,2,1,774,440,334
101116,1,999,1353,337,1016
101116,2,1,1248,322,926
101116,4,3,105,15,90
101143,1,999,4103,2417,1686
101143,2,1,4103,2417,1686
101161,1,999,6846,2521,4325
101161,2,1,6846,2521,4325
101189,1,999,3961,1648,2313
101189,2,1,3316,1341,1975
101189,4,3,645,307,338
101240,1,999,9949,3813,6136
101240,2,1,9949,3813,6136
101277,1,999,52,2,50
101277,2,1,52,2,50
101286,1,999,6992,2387,4605
101286,2,1,6992,2387,4605
101295,1,999,8505,3135,5370
101295,2,1,8505,3135,5370
101301,1,999,3385,1112,2273
101301,2,1,3385,1112,2273
101365,1,999,755,238,517
101365,2,1,755,238,517
101435,1,999,1315,616,699
101435,2,1,1315,616,699
101453,1,999,109,91,18
101453,2,1,73,58,15
101453,4,3,36,33,3
101462,1,999,2318,933,1385
101462,2,1,2318,933,1385
101471,1,999,1007,683,324
101471,2,1,1007,683,324
101480,1,999,11394,4844,6550
101480,2,1,9526,4152,5374
101480,4,3,1868,692,1176
101499,1,999,1956,858,1098
101499,2,1,1956,858,1098
101505,1,999,14856,5946,8910
101505,2,1,14856,5946,8910
101514,1,999,17627,7772,9855
101514,2,1,17627,7772,9855
101541,1,999,336,12,324
101541,2,1,336,12,324
101569,1,999,7058,2653,4405
101569,2,1,7058,2653,4405
101587,1,999,6871,1648,5223
101587,2,1,2259,944,1315
101587,4,3,4612,704,3908
101602,1,999,2657,908,1749
101602,2,1,2657,908,1749
101648,1,999,494,361,133
101648,2,1,494,361,133
101675,1,999,1954,947,1007
101675,2,1,1954,947,1007
101693,1,999,1998,581,1417
101693,2,1,1729,535,1194
101693,4,3,269,46,223
101709,1,999,3474,1111,2363
101709,2,1,2779,953,1826
101709,4,3,695,158,537
101736,1,999,6054,2585,3469
101736,2,1,6054,2585,3469
101879,1,999,8691,3714,4977
101879,2,1,7282,3140,4142
101879,4,3,1409,574,835
101897,1,999,4647,1780,2867
101897,2,1,4647,1780,2867
101912,1,999,2100,911,1189
101912,2,1,2048,883,1165
101912,4,3,52,28,24
101949,1,999,2171,718,1453
101949,2,1,2171,718,1453
101958,1,999,151,8,143
101958,2,1,151,8,143
101994,1,999,1074,418,656
101994,2,1,1074,418,656
