UNITID,Total Current Assets,Total Assets,Total Current Liabilities,Total Liabilities,Total Net Assets,Tuition and Fees after deductions,Student Services Total,Other Expenses deductions total,Total Expenses
100654,65911303,192661523,56417262,113050823,79610700,33873622,11220476,2249190,138956247
100663,774953178,3325880887,352336577,1088903701,2236977186,99586668,29931997,0,2338666019
100706,120537020,392381330,46734545,130385545,261995785,41673497,10909946,0,178466890
100724,135171243,340584940,36161656,204446635,136138305,39049416,13683930,0,135104796
100733,4290036,15302027,2203052,2203052,13098975,0,0,12129524,12129524
100751,435457791,2440182186,295824349,905840696,1534341490,264156532,40025240,51221729,760107259
100760,12065560,33072641,3151224,10140149,22932492,3501637,2250069,207069,25416186
100812,21391461,47716277,5304235,20650652,27065625,11964405,2580445,801260,30461849
100830,13742926,90588024,18174457,39394693,51193331,24728379,4385185,11905640,81183374
100858,241212211,2081379550,229312686,812085277,1269294273,250761075,18889316,0,717034324
101028,11061908,28479268,1636563,10445983,18033285,1934808,2004567,42353,13881880
101143,11299661,30025841,3307546,5963711,24062130,5185380,2908567,2384431,27455067
101161,21138654,51667063,6103267,20850048,30817015,7978823,3008130,0,31151266
101240,39120823,93543995,11214324,35757086,57786909,6742346,8184350,0,61632557
101286,27806909,57353902,4980210,13217418,44136484,6164055,3937231,38264,38924867
101295,20389172,114589321,7201974,31366693,83222628,8357382,5101789,6215105,52716775
101301,17058366,41372206,1596068,2036047,39336159,1922663,3397207,547000,22790265
101462,6511734,14295430,1475581,4402545,9892885,1353693,1230391,16136,13881500
101471,4215924,8057136,158082,690434,7366702,2541,4409700,0,12633434
101480,69589662,194174304,31544493,114879272,79295032,41659555,13890591,1355819,111994117
101499,7341806,15128313,1741160,2158441,12969872,1089459,1836574,12027,13789483
101505,26935041,107463146,14600858,69484963,37978183,15667975,7716855,83202,52732035
101514,37596274,104856784,13587336,42375437,62481347,17204842,5732875,3284110,61221901
101569,15440498,45073558,6148577,18332283,26741275,4942054,4574966,216569,42633062
101587,19011945,45211194,8330565,16856130,28355064,25782463,4789522,4978879,54011430
101602,10394756,25610744,3666698,7360352,18250392,1834558,2296857,0,18574035
101648,3559825,23851154,1526920,3827791,20023363,1652155,4117758,0,11342728
101709,32226711,91143951,14774273,36168552,54975399,15112620,8028102,0,52070760
101736,14215391,37818889,4789056,7163607,30655282,4718772,4252296,2092605,41581405
101879,47265538,130350044,17251219,38382782,91967262,32532654,6500776,0,83854799
101897,7833952,29295510,3055613,8285014,21010496,4778312,1243391,161082,25686181
101949,7280537,21900304,2787779,5380751,16519553,3401817,3038953,5459,20642228
101994,3381242,8039397,891283,3483538,4555859,1192869,953109,12873,9967249
102030,13441787,44087218,4972406,13035605,31051613,4171981,6996018,29453,45136945
102067,18609657,85911680,8189749,18393969,67517711,7712100,4836938,422170,44814046
102076,4440854,31131347,2770078,8322184,22809163,3047457,1904516,15773,18276434
102094,275417000,917157000,97154000,497886000,419271000,69212000,32233000,288000,573547000
102313,17979427,29145197,2283510,10359907,18785290,2276667,2673847,9500,23812286
102368,128835237,394792134,55091669,158690164,236101970,145048017,20742573,948811,255743537
102429,19798446,76384059,5100196,22061418,54322641,5211938,4566176,0,47802425
102553,42988165,380202145,17142185,64705697,315496448,60310810,31260958,585749,265167421
102614,50607524,482018696,25294628,84879142,397139554,34625841,24055032,3696285,393691978
102632,9855833,73670204,3287933,15387037,58283167,9824031,4611574,197147,49617118
102711,,,,,,1076792,1056625,1514235,10540049
103361,1269592,15106436,618237,640938,14465498,684277,448245,-47110,6110351
103529,110012291,310665935,98543206,106188494,204477441,894724,0,-2526967,52482416
104151,324994000,2306883000,171561000,1270088000,1036795000,566319000,58236000,10002000,1522401000
104160,48194907,143785730,18138293,88751785,55033945,4693717,5766476,2344,64201540
104179,396161000,2333649000,193953000,1360046000,973603000,329586000,30969000,0,1466454000
104346,63292612,147967874,8708511,67227936,80739938,5341242,4758068,4132785,59127724
104425,20486278,79655898,4984185,30842174,48813724,5062696,5673935,159991,43716062
104577,38473915,77816347,1889369,2933652,74882695,3026345,5336296,1601848,37361430
104708,,,,,,21147075,11467641,18027,98498681
105136,442701314,1436055323,141729445,776002667,660052656,5329570,3328072,874482,99112751
105145,,,,,,11051952,5403329,34448,52297205
105154,,,,,,31135375,11913853,0,128120863
105206,13035973,29677875,2373484,12286533,17391342,4168056,3415123,4015485,39302469
105297,23120603,56687562,2926249,3909846,52777716,414479,1851409,0,29031435
105330,241884927,916402082,62013471,547571782,368830300,126413650,29506234,1561308,369372061
105349,26368745,59828433,1222624,1300414,58528019,3062113,1850797,0,25884020
105428,,,,,,11897386,8100013,3000,69075408
105525,108514436,237243243,16918337,38180606,199062637,32359864,28532308,30938,195136631
105668,,,,,,27406367,6335476,7179,87149355
105747,,,,,,15093091,6933998,19346,60907583
105792,,,,,,3877433,4708198,76668,33971951
106148,26097373,127794508,10484159,62504995,65289513,6853199,6062275,0,59039779
106245,61057984,305014195,12289217,119504456,185509739,56689715,9017014,371537,183646086
106263,296648000,1124975000,108741000,453029000,671946000,22300000,4176000,8734000,1128595000
106397,207639943,1193106773,91290532,557873774,635232999,104940650,22136351,465774,634576470
106412,21004905,115495650,4943013,31127843,84367807,5434486,4793620,24778,73752906
106449,9359401,77754015,2864577,40584531,37169484,6040090,4647506,0,34397218
106458,39726486,331783778,20839693,146814628,184969150,39373553,10642019,13656009,182021874
106467,42355654,147026923,8741636,66384309,80642614,23273227,5633715,3276197,97262093
106485,7246618,54583609,1796646,16220118,38363491,4032984,2648934,0,40527455
106625,4728817,38230228,636982,3715414,34514814,1681150,1606585,51250,18453752
106704,15351885,191105626,9653954,101879641,89225985,57281715,7160464,934730,174946570
106795,2654631,18524183,804434,6752634,11771549,1231038,1150734,8659,12835095
106829,,,,,,246158,742923,623765,5167308
106883,4183920,21500330,894285,1841169,19659161,1312154,1871025,564014,13923834
106980,5819451,34810753,1874492,15243598,19567155,3371081,3579774,37771,29145921
106999,4358503,21047554,909488,5351596,15695958,1172495,1110897,0,14221884
