UNITID,F1A01,F1A06,F1A09,F1A13,F1A18,F1B01,F1C061,F1C141,F1C191,F1D01
100654,70373330,198084807,62507615,116267000,81817807,24252983,11634076,2903959,140942258,145365185
100663,873280249,3510961175,345753167,1171668911,2339292264,116024423,25376017,0,2509611124,2611926202
100706,131568438,397011588,48413908,129274908,267736680,45030169,13104024,0,195374180,201115075
100724,131685062,399129121,42597461,262888167,136240954,40242026,14814037,2484614,147033114,150199733
100733,5223582,16262003,2220512,2220512,14041491,0,0,13285708,13285708,14228224
100751,450286767,2703869719,377380141,1089231555,1614638164,288532882,46561673,9200715,765614454,845911128
100760,12737432,35781753,3450407,10106770,25674983,3518255,2444582,242336,29972793,32715987
100812,17074365,53277146,6389028,22925383,30351763,12707621,2861156,346646,31416137,34701634
100830,16498223,131696152,17555542,77894493,53801659,28482047,4975302,14386223,85192187,87510186
100858,253920342,2438194606,257347894,1056576025,1381618581,266244553,21052393,0,776431521,873663517
101028,8729253,28643750,2036308,10579578,18064172,1987220,2165417,39711,15323339,15354223
101143,17116140,37036011,3515853,10672636,26363375,5626907,2847320,0,29241593,31574251
101161,28333343,59331323,6922805,26209297,33122026,8309279,3140230,123724,33360228,35665239
101240,41533179,99061934,12866579,37672484,61389450,5924338,7853413,0,59415567,63082155
101286,32905521,61045663,5438788,13211815,47833848,6170897,3917955,124361,38478279,42160683
101295,28022053,123170983,9270805,32566382,90604601,10468142,5381374,16055479,63128136,70812994
101301,15094576,43622974,1611102,2086135,41536839,2233329,3828926,310085,25033509,27261484
101462,7286017,14882048,1569486,4306732,10575316,1127783,1218399,17921,13513498,14309669
101471,4663369,7779981,230838,771806,7008175,15450,4563113,0,12767311,12853373
101480,79088530,200393361,33682318,116875958,83517403,44270600,14033199,4332606,115953506,123510903
101499,7540083,15633365,1811925,2068524,13564841,1026368,1714327,27363,12883086,13478055
101505,33925665,112563459,15290327,67751506,44811953,16191014,7497481,431374,51808052,58641822
101514,46638039,116051713,16154085,43438365,72613348,19075126,5945534,280524,60347096,70475598
101569,18181355,49469721,8571461,20138635,29331086,6569042,5381895,957373,47180851,49991401
101587,54151494,84499928,11789366,41845690,42654238,30847192,6676478,9580509,62137959,70511924
101602,11225195,25631559,3917776,7387267,18244292,2129518,2299689,276597,18525393,18519293
101648,4149064,23702542,1658585,3957750,19744792,2241123,3741893,0,12394011,11844064
101709,34876825,91565655,15430208,35965518,55600137,16378431,8741338,0,53849275,54474013
101736,14559954,38164873,5147506,7048456,31116417,4315539,4434367,131767,34655693,35116828
101879,56417019,161224986,18137010,64732813,96492173,34543346,6543320,132049,87066599,91591510
101897,8778150,30561722,3290461,8313560,22248162,5130594,1328394,65967,28023529,29286611
101949,8278728,21559240,2078163,4529579,17029661,3941526,3353684,20155,20907262,21417370
101994,3680038,8111790,1020892,3480555,4631235,1044749,808516,29608,9622353,9697729
102030,17115914,47975804,5603270,12640233,35335571,4103997,6837992,127982,36870942,41150696
102067,20212991,86452805,8458223,16583058,69869747,10968369,4681301,492888,47986693,50394700
102076,3864671,36917217,3108175,14076720,22840497,2962372,2066222,129088,18352708,18384042
102094,294519000,920197000,96895000,503301000,416896000,81557000,34980000,0,594103000,596152000
102313,17273325,30318802,3127923,10856593,19462209,2319838,2743249,53776,24848694,25565201
102368,149394082,444228873,62555754,178608995,265619878,144547531,21022713,3797056,261052566,288860257
102429,22668440,77721096,5270319,20932651,56788445,5699962,4785099,70345,42659849,45125653
102553,46105156,414014442,16367615,62254576,351759866,64791836,33180749,36759,274705017,310968435
102614,71527152,559049035,34112596,90665882,468383153,38328530,24299028,7150887,405606312,476849911
102632,9459696,75158405,2275989,13742484,61415921,11073849,4422496,88213,50805224,53937978
102711,,,,,,1276616,1153092,2489793,11620040,
103361,954628,18392552,291153,336494,18056058,949985,796246,150328,6986784,10577344
103529,93531158,346442355,116757561,123435653,223006702,959777,0,0,48122502,66651763
104151,442181000,2436869000,166606000,1306429000,1130440000,639324000,62651000,6980000,1611396000,1705041000
104160,49354056,141259283,14946215,83361520,57897763,3985552,6273043,0,65867852,68731670
104179,295369000,2454267000,231808000,1385180000,1069087000,379199000,35685000,0,1555749000,1651233000
104346,73913480,156855607,8722858,64541310,92314297,5546834,5303642,8150,60996375,72570734
104425,22131817,82322714,4198234,29342278,52980436,5697196,6113434,0,46171934,50338646
104577,42858107,81656474,1906161,3344020,78312454,3196019,5760634,890478,41605084,45034843
104708,,,,,,17452109,11415356,89152,103568857,
105136,490914582,1624590632,138383525,860986370,763604262,5194741,2713237,947259,91198738,897330782
105145,,,,,,9903133,5643380,102598,51694531,
105154,,,,,,26573839,12132142,128625,131123480,
105206,11863791,29731850,1084984,6944742,22787108,4526951,3750295,1006506,36487029,42301134
105297,37377835,75213181,13864221,14761550,60451631,378646,1893927,0,30626200,38300115
105330,227942153,945787388,69541163,527890628,417896760,147223815,37001298,2698796,406527753,455594213
105349,35836165,68245001,1708032,1828409,66416592,2319373,1721760,0,24905008,32793581
105428,,,,,,9767645,8443471,1032,73448655,
105525,123488763,245599784,17782011,28640412,216959372,31543208,28933910,8773,200011050,217919699
105668,,,,,,31665880,6704198,4574,96612513,
105747,,,,,,13259250,6779820,52356,61768036,
105792,,,,,,3194950,4406118,450,34924323,
106148,31329194,142787695,10100615,66200467,76587228,7453699,6540374,0,60947469,72245184
106245,65359260,309399565,14442504,118210559,191189006,57701833,9526310,298602,197288887,202968154
106263,321028000,1228123000,106719000,496710000,731413000,23576000,4523000,15833000,1155807000,1215653000
106397,240476483,1336366053,90696161,684163415,652202638,109167102,23721590,637817,673775359,690744998
106412,26661717,124934580,4078341,29561616,95372964,4054498,4731762,11572,72501421,83506578
106449,12298383,77777105,3059934,39908174,37868931,6098231,4554378,3469549,37170559,37921271
106458,44070779,350178847,21683485,148284363,201894484,40275699,11101960,14546187,194761363,212893533
106467,42359992,161786862,7858907,69703119,92083743,24071341,5746235,3406752,106869609,118588209
106485,8644970,57966871,2727087,16676395,41290476,8046237,2772127,0,48062475,50989460
106625,6498306,40989192,1790370,4770646,36218546,2099253,1811164,35648,21364187,23400844
106704,24786844,224281197,11398940,126017612,98263585,38076197,7638368,974327,168978102,179501962
106795,3294732,18949427,761402,6746000,12203427,1278565,1199871,82341,13917484,14349362
106829,,,,,,217007,794540,0,4919159,
106883,4481932,24691285,414067,4471573,20219712,782968,2016532,36135,14019671,14553261
106980,9173397,34486752,1503469,15123306,19363446,4068020,3504462,0,33898478,34852687
106999,4150843,20620966,812729,4821346,15799620,873179,1465775,0,15919891,16023553
107071,12770578,79815039,4071123,38677906,41137133,9669409,4704063,1,54207207,59720881
107318,6619901,59772307,3608260,23406545,36365762,1509874,3113085,55656,25390675,25977899
107327,8081985,29866059,1007001,6258643,23607416,1384811,3020189,4587325,23033182,23253175
107460,4189308,24301682,842535,5328709,18972973,1518684,3443921,0,25598357,25975864
107488,,,,,,821347,611084,121858,6036051,
107521,3046736,6881246,459552,3232388,3648858,1546663,1410466,1811326,12706735,12497121
107549,4536846,14098137,198872,3861735,10236402,695278,1291814,1507403,13194253,13823915
107585,4623472,19556991,996412,4807789,14749202,2567029,1394928,2623970,19146699,19741616
107619,8434737,32941251,1377613,14160670,18780581,839621,3590564,2478408,23097191,26629521
107637,7819591,28047980,1392249,3594994,24452986,2497579,1575244,1411733,19180639,19531575
107664,22207509,90739529,3124778,50918430,39821099,10471908,6305569,0,69499081,74635665
107725,3894046,18683156,661461,7330181,11352975,1127581,2266646,0,14708185,16031267
107743,5297369,13908374,248109,1887400,12020974,574289,2230517,1498898,10344776,10460906
107974,8613896,27660929,889632,5041423,22619506,1796720,2173944,0,18577021,19456838
107983,10292930,91104759,4749704,48872813,42231946,9044220,4623954,3651687,47936905,49762404
107992,8060312,23257974,1307755,2370139,20887835,3143519,2023688,0,18450780,20831117
108056,45994149,50816188,19013879,19566445,31249743,0,0,0,139717795,144314963
108092,13815583,172337329,7705819,92040482,80296847,12674634,6196882,1005737,78694371,78944837
108667,,,,,,2707806,3879360,791838,27024563,
108807,89389872,201230755,13307535,105885915,95344840,3879709,7426889,13366812,75479635,84543428
109208,,,,,,8222389,20150340,43922550,163117083,
109350,70776927,245882233,24798349,191862963,54019270,2985057,11496096,4985,123805428,149017313
109819,134429948,507918521,25076923,336365837,171552684,4505264,8209067,0,137286977,206244715
109907,20911549,48293998,2923060,3311461,44982537,755430,3860192,618851,18801829,41207642
110246,62639429,267806154,20687126,120157418,147648736,6869508,12441684,1655130,125666335,126617800
